Symbol,Name,LastPrice,MarketCap,ADR TSO,IPOyear,Sector,Industry
PIH,"1347 Property Insurance Holdings, Inc.",7.95,47578889.7,n/a,2014,Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",25.97,0,n/a,n/a,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,2.25,70023514.5,n/a,n/a,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",12.8,826931494.4,n/a,1999,Consumer Services,Other Specialty Stores
FCCY,1st Constitution Bancorp (NJ),21.45,179396345.7,n/a,n/a,Finance,Savings Institutions
SRCE,1st Source Corporation,55.98,1452971032,n/a,n/a,Finance,Major Banks
VNET,"21Vianet Group, Inc.",9.22,567997675.9,61604954,2011,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",93.01,5277036659,n/a,2014,Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",105.85,3856768700,36436171,2004,Technology,Diversified Commercial Services
CAFD,8point3 Energy Partners LP,12.31,973638584.6,n/a,2015,Public Utilities,Electric Utilities: Central
EGHT,8x8 Inc,18.1,1683386409,n/a,n/a,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",21.25,474899738.8,n/a,n/a,Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",44.25,1306564750,n/a,1972,Basic Industries,Major Chemicals
AAON,"AAON, Inc.",33,1727953623,n/a,n/a,Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",83,1898293000,n/a,1992,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,16.3,771076145.5,n/a,n/a,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,11.26,0,n/a,n/a,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,2.46,6337980.9,n/a,2014,Consumer Durables,Telecommunications Equipment
ABMD,"ABIOMED, Inc.",405.62,18041100244,n/a,n/a,Health Care,Medical/Dental Instruments
ABLX,Ablynx NV,52.67,918713908.8,17442831,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABP,Abpro Corporation,n/a,0,n/a,n/a,Health Care,Major Pharmaceuticals
