Symbol,Name,LastPrice,MarketCap,IPOyear,Sector,Industry
AVHI,"A V Homes, Inc.",21.25,474899738.8,n/a,Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",44.25,1306564750,1972,Basic Industries,Major Chemicals
AAON,"AAON, Inc.",33,1727953623,n/a,Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",83,1898293000,1992,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,16.3,771076145.5,n/a,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,11.26,0,n/a,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,2.46,6337980.9,2014,Consumer Durables,Telecommunications Equipment
ABMD,"ABIOMED, Inc.",405.62,18041100244,n/a,Health Care,Medical/Dental Instruments
ABLX,Ablynx NV,52.67,918713908.8,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABP,Abpro Corporation,2.58,0,n/a,Health Care,Major Pharmaceuticals
AXAS,Abraxas Petroleum Corporation,9.83,429756165.1,n/a,Energy,Oil & Gas Production
ACIU,AC Immune SA,33.53,564247554,2016,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",4.05,1346214110,2016,Technology,Semiconductors
ACTG,Acacia Research Corporation,39.13,205123922.1,n/a,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",17.5,3452636293,n/a,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,0.6934,2184454458,2004,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",20.6,27042922.43,n/a,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",35.85,1112040509,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,29.3,1641045401,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,4.35,606553100.3,n/a,Finance,Savings Institutions
ARAY,Accuray Incorporated,3.7,372525804.6,2007,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",19,189886212.6,2011,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,3.55,142451227,n/a,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,12.1,109297556.2,n/a,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",8.18,542035121.1,2014,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",3.02,1055866.22,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",24.99,417786008.8,2006,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",18.35,2909471146,n/a,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",12.22,567125155.1,2015,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",32.2,193566596.3,2017,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,27.9,226512188,n/a,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",73.95,226512188,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,"Activision Blizzard, Inc",29.86,56291098066,n/a,Technology,Computer Software: Prepackaged Software
ACXM,Acxiom Corporation,27.68,2301019991,n/a,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",4.05,746870673,2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,12.61,135227110.5,n/a,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,56.8,818320855.6,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,1.33,664125707.2,2009,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",9.3,13707172.85,n/a,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,4.78,199529881.8,2015,Technology,Semiconductors
ADMA,ADMA Biologics Inc,247.51,175550681.5,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,1.21,1.22E+11,1986,Technology,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",14.8,86802492.37,2017,Capital Goods,Auto Parts:O.E.M.
ADTN,"ADTRAN, Inc.",6.55,709130781.6,1994,Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",11.28,515682495.6,2015,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",65.87,231512874.5,n/a,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",14.89,2590629291,1995,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",1.9,14433531981,n/a,Technology,Semiconductors
ADXS,"Advaxis, Inc.",0.22,99396313.1,n/a,Health Care,Major Pharmaceuticals
